Drug_Name,Symptom_1,Symptom_2,Side_Effect,Uses,Price,Dosage,Similar_Tablets,Type
Almotriptan,Migraine Headache (Acute treatment),-,"Nausea, dizziness, somnolence, tingling sensation.",5-HT$_{1B/1D}$ Receptor Agonist (Triptan class),₹200 - ₹500 per 2 tabs,12.5 mg tablet at onset (repeat once after 2 hours).,"Sumatriptan, Rizatriptan.",Global Tablet
Alogliptin,Type 2 Diabetes Mellitus,-,"Upper respiratory infection, headache, joint pain.",DPP-4 Inhibitor,₹150 - ₹350 per 10 tabs,25 mg once daily.,"Sitagliptin, Vildagliptin.",Global Tablet
Alteplase (Rt-Pa),Acute Ischemic Stroke (Thrombolysis),"Acute Myocardial Infarction, Pulmonary Embolism","Hemorrhage (bleeding risk), hypotension.",Thrombolytic (Fibrinolytic) Agent,Very High Cost; Emergency/Hospital use,IV Infusion (Complex weight-based regimen).,"Tenecteplase, Reteplase.",Global Injection
Aluminium Hydroxide,"Indigestion, Heartburn",Peptic ulcer disease relief,"Constipation, abdominal discomfort.",Antacid,₹10 - ₹50 per 10 tabs/syrup,500-1000 mg 4-6 times daily (after meals/bedtime).,"Magnesium Hydroxide, Calcium Carbonate.",Global Tablet/Suspension
Amantadine Hydrochloride,Parkinson's Disease,Drug-induced Extrapyramidal Symptoms,"Nausea, dizziness, confusion, livedo reticularis.",Dopamine Agonist and NMDA Antagonist,₹100 - ₹300 per 10 caps,100 mg once or twice daily.,"Levodopa/Carbidopa, Bromocriptine.",Global Tablet
Ambrisentan,Pulmonary Arterial Hypertension (PAH),-,"Headache, edema (swelling), flushing, anemia.",Endothelin Receptor Antagonist,Very High Cost; Specialty use,5 mg or 10 mg once daily.,"Bosentan, Macitentan.",Global Tablet
Amikacin,Severe Bacterial Infections,Tuberculosis,"Serious: Nephrotoxicity (kidney damage), Ototoxicity (hearing loss).",Aminoglycoside Antibiotic,₹50 - ₹200 per injection vial,"IV/IM injection (Weight-based, adjusted for renal function).","Gentamicin, Tobramycin.",Global Injection
Amiloride Hydrochloride,Edema (fluid retention),Hypertension (High Blood Pressure),"Hyperkalemia (high potassium), headache, nausea.",Potassium-Sparing Diuretic,₹20 - ₹100 per 10 tabs,5 mg to 10 mg once daily.,"Triamterene, Spironolactone.",Global Tablet
Aminophylline,Acute Bronchospasm (severe asthma/COPD exacerbation),-,"Nausea, vomiting, headache, palpitations, arrhythmias.",Xanthine Derivative (Bronchodilator),₹30 - ₹100 per tablet/injection,IV Infusion or Oral tablet 100-200 mg every 6-8 hours.,"Theophylline, Salbutamol.",Global Tablet/Injection
Amiodarone Hydrochloride,Ventricular Arrhythmias (Life-threatening irregular heartbeat),Atrial Fibrillation (rate control/rhythm maintenance),"Nausea, vomiting, thyroid dysfunction (hypo/hyper), corneal deposits, photosensitivity. Serious: Pulmonary fibrosis.",Antiarrhythmic (Class III),₹50 - ₹200 per 10 tabs (100mg),Complex loading dose (high dose initially) followed by maintenance (100–400 mg daily).,"Dronedarone, Sotalol (Other antiarrhythmics).",Global Tablet/Injection
Amisulpride,Schizophrenia (Acute and chronic),Persistent positive and negative symptoms of psychosis,"Insomnia, anxiety, weight gain, increased prolactin (leading to menstrual/sexual issues).",Atypical Antipsychotic (Selective dopamine antagonist),₹100 - ₹350 per 10 tabs (50mg/100mg),Psychosis: 400 mg to 800 mg daily. Dysthymia: 50 mg to 300 mg daily.,"Risperidone, Olanzapine, Haloperidol.",Global Tablet
Amitriptyline Hydrochloride,Depression (Moderate to severe),"Neuropathic Pain (nerve pain), Migraine prevention","Dry mouth, drowsiness/sedation, dizziness, blurred vision, weight gain.",Tricyclic Antidepressant (TCA),₹20 - ₹80 per 10 tabs (10mg/25mg),Depression: 50–100 mg at night. Pain: Lower doses (10–50 mg) at night.,"Imipramine, Nortriptyline, Desipramine.",Global Tablet
Amlodipine,Hypertension (High Blood Pressure),Chronic Stable Angina (chest pain),"Ankle swelling (edema), headache, flushing, fatigue.",Calcium Channel Blocker (Dihydropyridine),₹20 - ₹100 per 10 tabs (5mg/10mg),Initial: 5 mg once daily. Max: 10 mg once daily.,"Nifedipine, Felodipine (Other Dihydropyridines).",Global Tablet
Amoxicillin,"Bacterial Infections (e.g., Tonsillitis, Pharyngitis)","Eradication of H. pylori (with other drugs), Dental abscess","Nausea, vomiting, diarrhea, rash (non-allergic), candidiasis (thrush). Serious: Allergic reaction (anaphylaxis).",Beta-Lactam Antibiotic (Penicillin class),₹20 - ₹150 per 10 caps (250mg/500mg),250 mg to 500 mg every 8 hours.,"Ampicillin, Penicillin V, Amoxicillin/Clavulanic Acid (co-amoxiclav).",Global Capsule/Tablet
Amphotericin IV – Abelcet (lipid complex),Systemic Fungal Infections (Mycoses),Refractory to or Intolerant of conventional Amphotericin B,"Chills, fever, increased serum creatinine, hypotension, nausea.","Antifungal (Polyene), Lipid Complex Formulation",Very High Cost; Hospital use only,5 mg/kg IV once daily (Infused over ~2 hours).,"AmBisome, Amphotericin IV (Other forms).",Global Injection
Amphotericin IV – AmBisome (liposomal),Systemic Fungal Infections (Mycoses),"Empirical treatment of febrile neutropenia, Visceral Leishmaniasis","Infusion-related reactions (fever/chills), nausea, vomiting, hypokalemia (less nephrotoxic than Fungizone).","Antifungal (Polyene), Liposomal Formulation",Extremely High Cost; Hospital use only,3.0 to 5.0 mg/kg/day IV infusion (over 30-60 minutes).,"Abelcet, Amphotericin IV (Other forms).",Global Injection
Amphotericin IV – Fungizone (conventional),"Progressive, life-threatening Fungal Infections (e.g., Mucormycosis)",Systemic Mycoses,"Chills, fever, nausea, vomiting, headache, hypotension. Serious: High risk of Nephrotoxicity.","Antifungal (Polyene), Conventional Deoxycholate",High Cost; Hospital use only,"Initial: 0.25 mg/kg daily, increasing to 0.5-0.7 mg/kg/day (IV infusion over 2-6 hours).","Abelcet, AmBisome (Lipid forms are preferred for safety).",Global Injection
Ampicillin,"Bacterial Infections (Meningitis, Respiratory, GI, Urinary Tract)","Endocarditis (Enterococcal, Listeria)","Diarrhea, nausea, vomiting, rash (non-allergic). Serious: Anaphylaxis.",Broad-spectrum Antibiotic (Aminopenicillin),"₹10 - ₹100 per 10 caps/vial (Generic, India)",Oral: 250-500 mg every 6 hours (empty stomach). IV/IM: Dosing varies by severity.,"Amoxicillin, Ampicillin/Sulbactam (Co-injection).",Global Capsule/Injection
Anagrelide,Essential Thrombocythemia (ET) (high platelet count),Reduction of elevated platelet counts in at-risk patients,"Headache, palpitation, fluid retention, nausea, dizziness. Serious: Heart/lung complications.",Platelet-reducing Agent (Phosphodiesterase 3 Inhibitor),"₹400 - ₹2,000 per 10 caps",Initial: 1 mg/day in two divided doses. Titrated based on platelet count.,"Hydroxyurea, Interferon-alpha.",Global Capsule
Anakinra,Rheumatoid Arthritis (RA),Cryopyrin-Associated Periodic Syndromes (CAPS),"Injection site reactions, headache, nausea, increased risk of serious infection.",Interleukin-1 Receptor Antagonist (IL-1 RA) (Biologic),Very High Cost; Specialty drug,100 mg SC injection once daily.,"Tocilizumab (IL-6 inhibitor), Canakinumab (Other anti-cytokines).",Global Injection
Anastrozole,"Breast Cancer (postmenopausal women, hormone receptor-positive)",-,"Hot flashes, joint pain, weakness, nausea, headache.",Aromatase Inhibitor (Blocks estrogen production),₹150 - ₹500 per 10 tabs,1 mg once daily.,"Letrozole, Exemestane (Other Aromatase Inhibitors).",Global Tablet
Anidulafungin,Invasive Candidiasis (Systemic fungal infection),Candidemia,"Infusion-related reactions, headache, diarrhea, low potassium (hypokalemia).",Echinocandin Antifungal (Inhibits cell wall synthesis),Very High Cost; Hospital/IV use only,"IV infusion (Loading dose of 200 mg, then 100 mg daily).","Caspofungin, Micafungin (Other Echinocandins).",Global Injection
Apixaban,Prevention of stroke in Atrial Fibrillation (AF),Prevention and treatment of Deep Vein Thrombosis (DVT) / Pulmonary Embolism (PE),Bleeding (increased risk of major or minor hemorrhage).,Direct Factor Xa Inhibitor (DOAC/NOAC),₹300 - ₹800 per 10 tabs (2.5mg/5mg),"AF: 5 mg twice daily. DVT/PE treatment: 10 mg twice daily for 7 days, then 5 mg twice daily.","Rivaroxaban, Dabigatran, Edoxaban.",Global Tablet
Apomorphine Hydrochloride,"Parkinson's Disease (Acute, intermittent ""off"" episodes)",-,"Nausea (severe, requires anti-emetic), yawning, dizziness, injection site reactions.",Dopamine Agonist,Very High Cost; Specialty use,"Subcutaneous injection (dosing individualized to rescue ""off"" periods).","Rotigotine, Pramipexole.",Global Injection
Apremilast,Psoriatic Arthritis (PsA),Moderate to severe Plaque Psoriasis,"Diarrhea, nausea, headache, upper respiratory tract infection, weight loss.",PDE4 Inhibitor (Immunosuppressant),Very High Cost; Specialty drug,Titrated up to 30 mg twice daily.,"Methotrexate, Adalimumab (Other DMARDs/Biologics).",Global Tablet
Aprepitant,Prevention of Chemotherapy-Induced Nausea and Vomiting (CINV),Prevention of post-operative nausea and vomiting,"Hiccups, fatigue, dizziness, diarrhea, loss of appetite.",Neurokinin 1 ($\text{NK}_1$) Receptor Antagonist,High Cost (often used in combination therapy),"Oral: 125 mg 1 hr before chemo (Day 1), then 80 mg once daily (Days 2 and 3).","Fosaprepitant (IV prodrug), Ondansetron (5HT3 Antagonist).",Global Capsule
Argatroban,Anticoagulation in patients with Heparin-Induced Thrombocytopenia (HIT),Anticoagulation during Percutaneous Coronary Intervention (PCI) in HIT patients,"Bleeding (major or minor), hypotension, fever.",Direct Thrombin Inhibitor,Very High Cost; Hospital/IV use only,Continuous IV Infusion (dose adjusted based on aPTT monitoring).,"Bivalirudin, Lepirudin.",Global Injection
Aripiprazole,Schizophrenia,"Bipolar Disorder (Acute mania/Mixed episodes), Depression (adjunctive)","Akathisia (restlessness), headache, nausea, anxiety, weight gain (less than other atypicals).",Atypical Antipsychotic (Partial Dopamine Agonist),₹150 - ₹500 per 10 tabs (10mg/15mg),Schizophrenia: 10–15 mg once daily.,"Olanzapine, Risperidone, Quetiapine.",Global Tablet
Arsenic Trioxide,Acute Promyelocytic Leukemia (APL),-,"Nausea, vomiting, diarrhea, fatigue. Serious: QT prolongation (arrhythmia risk), differentiation syndrome.",Chemotherapy Agent,Very High Cost; Hospital/Oncology use,"IV Infusion (Dosing complex, based on induction and consolidation).","Tretinoin (ATRA, often used with it).",Global Injection
Artemether with Lumefantrine,"Acute, uncomplicated P. falciparum Malaria",-,"Headache, dizziness, fever, nausea, vomiting, joint pain.",Antimalarial (Artemisinin combination therapy - ACT),₹100 - ₹300 per course (6 doses),Weight-based dosing (Total 6 doses over 3 days).,"Artesunate/Amodiaquine, Quinine.",Global Tablet
Ascorbic Acid,Scurvy (Vitamin C Deficiency),"Dietary supplement, Acidification of urine","Nausea, vomiting, heartburn, kidney stones (with very high doses).","Vitamin (Water-soluble), Antioxidant",₹5 - ₹50 per 10 tabs (Generic),Scurvy: 100-250 mg 1–2 times daily.,"Multivitamins, Thiamine.",Global Tablet
Asenapine,Schizophrenia,Bipolar Disorder (Acute mania/Mixed episodes),"Drowsiness/sedation, dizziness, oral hypoesthesia (numbness in mouth).",Atypical Antipsychotic,₹250 - ₹600 per 10 tabs (5mg/10mg),5 mg or 10 mg sublingual (under the tongue) twice daily.,"Olanzapine, Risperidone, Lurasidone.",Global Tablet
Aspirin,"Prevention of Cardiovascular Events (MI, Stroke)","Pain (mild to moderate), Fever, Inflammation","Indigestion, stomach ulcers, bleeding (increased risk). Serious: Reye's syndrome (in children).",Antiplatelet (low dose); NSAID/Salicylate (high dose),₹5 - ₹50 per 10 tabs (81mg/75mg/150mg),Antiplatelet: 75–150 mg once daily. Pain/Fever: 300–600 mg every 4-6 hours.,"Clopidogrel (Antiplatelet), Ibuprofen (NSAID).",Global Tablet
Atazanavir,HIV Infection (Part of Antiretroviral regimen),-,"Jaundice (yellowing of skin/eyes), headache, nausea, vomiting, rash.","Antiretroviral, Protease Inhibitor (PI)",₹300 - ₹1000 per 30 caps (Varies by brand/country),300 mg once daily (must be boosted with Ritonavir or Cobicistat).,"Darunavir, Lopinavir/Ritonavir.",Global Capsule
Atenolol,Hypertension (High Blood Pressure),"Angina Pectoris, Post-Myocardial Infarction","Slow heart rate (bradycardia), fatigue, cold extremities, dizziness.",Beta-1 Selective Adrenergic Blocker,₹20 - ₹150 per 10 tabs (25mg/50mg),25 mg to 100 mg once daily.,"Metoprolol, Bisoprolol, Acebutolol.",Global Tablet
ATG (Rabbit) (Thymoglobuline),Acute Kidney Transplant Rejection,Hematopoietic Stem Cell Transplantation (conditioning),"Fever, chills, infusion-related reactions, leukopenia, thrombocytopenia.",Immunosuppressant (Polyclonal Anti-T-lymphocyte antibody),Very High Cost; Specialty/Transplant use,"IV Infusion (Dosing complex, based on patient weight and indication).","Basiliximab, Alemtuzumab.",Global Injection
Atorvastatin,Hypercholesterolemia (High LDL/Total Cholesterol),Prevention of Myocardial Infarction (MI) and Stroke,"Headache, nausea, diarrhea, joint pain. Serious: Muscle pain (myopathy/rhabdomyolysis), liver enzyme elevation.",HMG-CoA Reductase Inhibitor (Statin),₹50 - ₹200 per 10 tabs (10mg/20mg),10 mg to 80 mg once daily (usually at night).,"Rosuvastatin, Simvastatin, Pravastatin.",Global Tablet
Atovaquone,Prevention and treatment of Pneumocystis Pneumonia (PCP),Prevention of Malaria (often combined with Proguanil),"Headache, nausea, diarrhea, rash, insomnia.",Antiprotozoal (Inhibits electron transport),₹800 - ₹1800 per 30 tabs (Specialty drug),PCP: 750 mg twice daily.,"Trimethoprim/Sulfamethoxazole (Co-trimoxazole), Dapsone.",Global Tablet/Suspension
Atracurium Besilate,Muscle Relaxation for surgery/mechanical ventilation,Facilitation of tracheal intubation,"Flushing, hypotension (low blood pressure), bronchospasm, histamine release.",Nondepolarizing Neuromuscular Blocker,High Cost; Hospital/Anesthesia use only,"IV Injection/Infusion (Dosing complex, based on procedure length).","Cisatracurium, Rocuronium, Vecuronium.",Global Injection
Avanafil,Erectile Dysfunction (ED),-,"Headache, flushing, nasal congestion, back pain. Serious: Sudden vision/hearing loss.",Phosphodiesterase-5 (PDE5) Inhibitor,₹400 - ₹800 per tablet (Varies widely),"50 mg to 200 mg, taken 15-30 minutes before sexual activity.","Sildenafil, Tadalafil, Vardenafil.",Global Tablet
Axitinib,Advanced Renal Cell Carcinoma (Kidney Cancer),-,"Diarrhea, hypertension (high blood pressure), fatigue, loss of appetite, hand-foot syndrome.",Tyrosine Kinase Inhibitor (TKI) (Anti-cancer),Very High Cost; Specialty drug,5 mg twice daily (can be adjusted).,"Sunitinib, Pazopanib, Cabozantinib.",Global Tablet
Azacitidine,Myelodysplastic Syndromes (MDS),Acute Myeloid Leukemia (AML) (in certain patients),"Nausea, vomiting, diarrhea, injection site reactions, fever, neutropenia/thrombocytopenia.",Hypomethylating Agent (DNA methyltransferase inhibitor),Very High Cost; Specialty Injection,Subcutaneous or IV injection (complex schedule over 7 days per cycle).,Decitabine.,Global Injection
Azathioprine,Rheumatoid Arthritis (RA),"Prevention of Organ Transplant Rejection, Autoimmune diseases (e.g., Crohn's, SLE)","Nausea, vomiting, bone marrow suppression (leukopenia), liver toxicity.",Immunosuppressant / Purine Antagonist,₹50 - ₹150 per 10 tabs (50mg),1–3 mg/kg daily (dose adjusted based on blood counts).,"Cyclosporine, Methotrexate, Mycophenolate.",Global Tablet
Azilsartan medoxomil,Hypertension (High Blood Pressure),-,"Dizziness, headache, fatigue, diarrhea.",Angiotensin II Receptor Blocker (ARB),₹150 - ₹400 per 10 tabs,40 mg or 80 mg once daily.,"Losartan, Valsartan, Candesartan.",Global Tablet
Azithromycin,"Bacterial Infections (Respiratory, Skin, Chlamydia)",Prophylaxis against Mycobacterium avium complex (MAC),"Diarrhea, nausea, abdominal pain, headache. Serious: QT prolongation (arrhythmia risk).",Macrolide Antibiotic,₹50 - ₹150 per 3 tabs (500mg),500 mg once daily for 3 days or 500 mg on day 1 followed by 250 mg on days 2-5.,"Erythromycin, Clarithromycin.",Global Tablet/Suspension
Aztreonam,"Severe Gram-Negative Bacterial Infections (e.g., Pseudomonas, E. coli)",-,"Pain/phlebitis at injection site, rash, diarrhea, nausea, vomiting.",Monobactam Antibiotic,High Cost; Hospital/IV use only,1 g to 2 g every 8-12 hours by IV infusion.,"Ceftazidime, Piperacillin/Tazobactam.",Global Injection
Baclofen,Spasticity (Muscle stiffness/tightness due to MS or spinal injury),Trigeminal Neuralgia,"Drowsiness, dizziness, weakness, nausea, confusion.",Central Nervous System (CNS) Muscle Relaxant (GABA-B Agonist),₹30 - ₹100 per 10 tabs (10mg),Initial: 5 mg three times daily. Increased slowly up to 60-80 mg daily.,"Tizanidine, Diazepam.",Global Tablet/Injection
Balsalazide sodium,Mild to moderate Ulcerative Colitis (UC),-,"Headache, abdominal pain, diarrhea, nausea, respiratory infection.",5-Aminosalicylate (5-ASA),₹300 - ₹600 per 10 caps,2.25 g three times daily.,"Mesalazine, Sulfasalazine.",Global Tablet
Baricitinib,Moderate to severe Rheumatoid Arthritis (RA),Severe Alopecia Areata,"Upper respiratory infection, nausea, increased risk of infection, elevated cholesterol.",Janus Kinase (JAK) Inhibitor (Immunosuppressant),Very High Cost; Specialty drug,2 mg or 4 mg once daily.,"Tofacitinib, Upadacitinib (Other JAK Inhibitors).",Global Tablet
